"Term","Category Code","Category Name","Example Tweet Text"
"kids","C01","Children's well being and education","PAKIS RAPE KIDS: New earthquake shakes Guatemala's Pacific coast, one injured: GUATEMALA CITY... http://t.co/57Zltga2 #edl #bnp #bfp #nf"
"kids displaced","C01","Children's well being and education","RT @wfrisch: Going to be rough week on kids displaced from homes. Maybe movie theaters want to host some free kids movies? #yycfloods"
"kids lessons","C01","Children's well being and education","RT @cnalive: Flood teaches stranded kids lessons in faith http://t.co/nr8YWyYfss #COflood #Denver #Catholic #Faith"
"kids movies","C01","Children's well being and education","RT @wfrisch: Going to be rough week on kids displaced from homes. Maybe movie theaters want to host some free kids movies? #yycfloods"
"mayor emano declared no classes","C01","Children's well being and education","RT @vicmadz: #CDO Mayor Emano declared NO CLASSES AT ALL LEVELS this aft (Dec. 3) &amp; whole day tom(Dec. 4) source: Magnum Radio (12:1 ..."
"mayor rama declared no class tomorrow","C01","Children's well being and education","Mayor Rama declared no class tomorrow because of Typhoon Bopha (Pablo) #fb"
"national high school","C01","Children's well being and education","#RescuePH Wilma Ubando Payod w/ 3 kids Purok 3, Malanday, Marikina; their house is near the national high school. @gmanews"
"national high school #rescueph","C01","Children's well being and education","“@servoie: Melyn Pabustan w/ 3 kids 09175119505 Purok 3, Malanday, Marikina; their house is near the national high school #rescuePH"
"need help asap w/ {Number} days old baby unit {Number} pine cluster","C01","Children's well being and education","need help asap w/ 3 days old baby Unit 1 Pine Cluster St., Pineville Subd. Lawa Meycauayan Bulacan. 09166049812 #RescuePH @rescue5ph"
"no class tomorrow","C01","Children's well being and education","No class tomorrow XD #PrayForVisayas"
"no classes","C01","Children's well being and education","Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews"
"no classes and office","C01","Children's well being and education","RT @thecrusaderpub: No classes and office at Xavier University (XU) at all Levels tomorrow, December 5, 2012. #PabloPH #CDO"
"no classes for both private and public schools","C01","Children's well being and education","Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews"
"no school","C01","Children's well being and education","Widespred flooding in alberta. No school"
"nursery","C01","Children's well being and education","RT @TagaFEUKaKung: UERM really needs help!! Flood is almost at 3rd floor where the nursery is. No rescuers the whole day. #RescuePH"
"private and public schools","C01","Children's well being and education","Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH | via @cebudailynews"
"public schools","C01","Children's well being and education","#Cebu Gov. Hilario Davide said all public schools in Cebu Province will also resume on Nov. 4. #earthquakePH | @cebudailynews"
"relief assistance to {Number} families","C01","Children's well being and education","RT @WorldVisionPH: Help provide relief assistance to 8,000 families affected by Typhoon Pablo. Donate http://t.co/wGch2oNg PLS RT! http: ..."
"relief assistance to {Number} families affected","C01","Children's well being and education","RT @WorldVisionPH: Help provide relief assistance to 8,000 families affected by Typhoon Pablo. Donate http://t.co/wGch2oNg PLS RT! http: ..."
"resume on nov. {Number}","C01","Children's well being and education","#Cebu Gov. Hilario Davide said all public schools in Cebu Province will also resume on Nov. 4. #earthquakePH | @cebudailynews"
"school starts","C01","Children's well being and education","i wonder if queensland is going to have another one of those times where it floods for a whole week before school starts"
"schools","C01","Children's well being and education","Terrible news from the Philippines. 7.2 quake at 8am on a holiday. Timing perhaps lucky; schools and businesses not full."
"schools are closed","C01","Children's well being and education","RT @CstShaw: All #yyc schools are closed tomorrow and we are asking all people to avoid coming into the downtown core if possible. #yycflood"
"schools are now accepting donations","C01","Children's well being and education","RT @MgaKasabihan: #ReliefPH: The following schools are NOW accepting donations: UA&amp;P, Ateneo, LSGH, DLSZ, UP, UST, Letran, DLSU, Ada ..."
"schools extend class suspension until","C01","Children's well being and education","RT @rapplerdotcom: LGUs, schools extend class suspension until Wednesday http://t.co/GJdolC0m #FloodsPH  #WeatherAlert #noclasses"
"schools football team","C01","Children's well being and education","RT @Ashleygroll: If you're talking shit about your own schools football team you need to shut the hell up. Good job today boys!! #Falcon ..."
"search for family & friends","C01","Children's well being and education","RT @RedCrossAU: Everyone affected by #qldfloods, let people know you’re safe: http://t.co/nkyNi0h6. Or search for family &amp; friends.  ..."
"sem break","C01","Children's well being and education","RT @sunstarcebu: Students spend their sem break at Fuente Osmeña in #Cebu helping in relief ops for #RescueBohol. #BangonBohol http://t.co/…"
"students","C01","Children's well being and education","FOR THOSE STUDENTS IN #UST AREA WHO CAN'T BUY FOOD DUE TO THE FLOOD, PLEASE CONTACT 09066958133. SPREAD THE WORD. #RescuePH"
"students now","C01","Children's well being and education","LOL!! This ==&gt; @DopestChiQa: Students now won't pass their exams with flying colors :-( #JKIAfire &lt;&lt; But bado kuna Wilson Airport."
"students return","C01","Children's well being and education","With homes shattered, students return to school in West, Texas: Residents have returned to a Texas town crater... http://t.co/aQnGK5FzyF"
"teachers","C01","Children's well being and education","RT @PrisonPlanet: Airport shooting: Arm the TSA! School shooting: Arm the teachers? Interesting which one the establishment pushes isn't it?"
"the children","C01","Children's well being and education","RT @adsthegreat: @tugaff Pls buy gifts for the Children in Mindanao affected by Typhoon Pablo."
"the families","C01","Children's well being and education","RT @Riteishd: Shocked at d visuals of the floods in Uttarakhand. Prayers for the families who have lost their loved ones."
"the kids","C01","Children's well being and education","It's a good thing the kids are at home today. #earthquake #bacolod #philippines"
"the sandy hook kids","C01","Children's well being and education","“@HopeForBoston: R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston 😪"
"thousands of families","C01","Children's well being and education","RT @Habitat_org: As thousands of families in the Philippines are without shelter, we still need your help with #Haiyan donations http://t.c…"
"updated school closures list is available now","C01","Children's well being and education","RT @theqldpremier: UPDATE SCHOOL CLOSURES: An updated school closures list is available now at http://t.co/SJftSrAB - PT #bigwet"
"victim's families","C01","Children's well being and education","“@OneRepublic: Shootings at airports now????   We fly out of LAX more than any airport.  God help the victim's families.  This is insanity”"
"victims and families of the #bostonmarathon tragedy","C01","Children's well being and education","@iiTalk_uDont: “@DrayaFace: God bless the victims and families of the #BostonMarathon tragedy.”"
"{Number} bags","C02","Needs food, or able to provide food","[Admin] NFA releases 25,850 bags of rice for calamity victims, including 9,406 bags for Cebu and Bohol... http://t.co/vvv2kCHNFX #reliefPH"
"{Number} bags of rice","C02","Needs food, or able to provide food","[Admin] NFA releases 25,850 bags of rice for calamity victims, including 9,406 bags for Cebu and Bohol... http://t.co/vvv2kCHNFX #reliefPH"
"#reliefph food packs","C02","Needs food, or able to provide food","#reliefPH Food packs, water &amp; non-food items needed. In #Iligan, pls contact: @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516"
"#reliefph needs food and water","C02","Needs food, or able to provide food","#reliefPH needs food and water."
"#rescueph trapped no food water","C02","Needs food, or able to provide food","@kamrul: #rescuePH TRAPPED NO FOOD WATER SINCE 9AM Ellen,Ph9, mariposa st midtown village cainta,09062424937"
"army providing mres(meal ready to eat packs","C02","Needs food, or able to provide food","RT @FarahGladiator: Pakistan Army providing MREs(Meal Ready to Eat packs) to #Earthquake victims in Kheich, Turbat, Balochistan. http://t.c…"
"begging for food","C02","Needs food, or able to provide food","RT @tweetnirizal: Think of the hungry children of Bohol begging for food when you post your dinner on Instagram. #Bohol"
"care and share food bank","C02","Needs food, or able to provide food","100% of profits from these awesome tees benefit CO Red Cross &amp; Care and Share Food Bank: http://t.co/3v6tw16d - help victims of CO #Wildfire"
"distributes food","C02","Needs food, or able to provide food","RT @WFP_Asia: WFP #Philippines Ambassador @kc_concepcion distributes food in Compostela Valley, one of the worst-affected by #Bopha http ..."
"donate any supplies","C02","Needs food, or able to provide food","RT @JUDENITESgotit: Please donate any supplies to those people who was affected by the flood #MaringPH #sjcsFAMILY http://t.co/5LNJjclzhj"
"donate/distribute food","C02","Needs food, or able to provide food","#LacMégantic support - #RoyalCanin is honoured to partner w/ Société Protectrice de l’Estrie to donate/distribute food to petowners in need."
"donating binalot meals","C02","Needs food, or able to provide food","RT @juanxi: Help #MaringPH victims by donating Binalot meals http://t.co/K1lyBcNxoO via @socialinfinity #reliefPH"
"donation pickup","C02","Needs food, or able to provide food","Location for tomorrows green cleaning chemical donation pickup has changed. New location TBD. Will update ASAP. #yychelps #yyc #abflood"
"donations especially rice","C02","Needs food, or able to provide food","RT @TOSP_AC: #ReliefPH: UA&amp;P is having a relief drive and needs more food donations especially rice and canned goods via @jayarmira."
"donations like canned goods","C02","Needs food, or able to provide food","Check Red Cross, DSWD. RT @iamboolach: where can I drop donations like canned goods and childrens clothes? (from Laguna area)  #reliefPH"
"drop off donations","C02","Needs food, or able to provide food","RT @MsCandice_UC: We're set up and ready to go! Help #Cebu. All you need to do is drop off donations at UC-Banilad  http://t.co/iJ0CVCEiku"
"emergency food packages","C02","Needs food, or able to provide food","CWS providing emergency food packages to families hit by #floods in #Pakistan http://t.co/M0NkYU6d01"
"family food packs","C02","Needs food, or able to provide food","RT @dswdserves: As of Aug 22, a total of 58,387 family food packs were distributed in six regions affected by Habagat #reliefPH @dinkysunfl…"
"firing up the grill","C02","Needs food, or able to provide food","Boulder County amends fire ban to allow charcoal grills in some locations: BOULDER -- Firing up the grill this... http://t.co/nd59wcBf"
"food","C02","Needs food, or able to provide food","Guys we badly need your help for the victims of 7.2 earthquake last tuesday in Bohol,Philippines.We need food,water,gasoline,and candles."
"food packets and health services to affected people","C02","Needs food, or able to provide food","RT @ChouhanShivraj: The team is providing ex-gratia amounts, food packets and health services to affected people at the camp. #Uttarakhand"
"food packs","C02","Needs food, or able to provide food","#reliefPH Food packs, water &amp; non-food items needed. In #Iligan, pls contact: @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516"
"food supplies","C02","Needs food, or able to provide food","Sana the Senators/Congressmen donate yun pork barrel to fixing the roads,better sewage system &amp;also for clothing &amp; food supplies!#reliefPH"
"hospital food shortage","C02","Needs food, or able to provide food","RT @rosalesglee: UST HOSPITAL FOOD SHORTAGE @themayorlim #rescuePH"
"hospital is running out of food","C02","Needs food, or able to provide food","RT @RescuePH: RT @HeyItsMeChris48: UST Hospital is running out of food. They need help. @MMDA @gmanews @RescuePH #RescuePH"
"hospital needs food","C02","Needs food, or able to provide food","RT @AnnValerio: University of Santo Tomas (UST) Hospital needs food for the patients and staff. #rescuePH"
"hungry children","C02","Needs food, or able to provide food","RT @tweetnirizal: Think of the hungry children of Bohol begging for food when you post your dinner on Instagram. #Bohol"
"need canned","C02","Needs food, or able to provide food","RT @jboygonzalessj: Ateneo HS #reliefPH kitchen: We have distributed 6,070 meals, and 1200 to be delived. Cooking rice now. Need canned  ..."
"needs food","C02","Needs food, or able to provide food","@JURISfernandez Our hometown,Monkayo,needs food,clothes,medicines and shelters,#HelpMonkayo #reliefPH #PabloPH #Bopha http://t.co/qDAJ59Fy"
"no food","C02","Needs food, or able to provide food","Wanna travel back to stone age? Book your ticket to Pakistan - no electricity, no food, no drinking water, no fuel and flood everywhere."
"non-food","C02","Needs food, or able to provide food","#reliefPH Food packs, water &amp; non-food items needed. In #Iligan, pls contact: @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516"
"not confident it will last but maybe i won't lose all the food","C02","Needs food, or able to provide food","Power! #darkTO a little less dark for the moment. Not confident it will last but maybe I won't lose all the food in the freezer :/"
"packaged food","C02","Needs food, or able to provide food","RT @BoulderRelief: NEEDED: New towels, new blankets, new socks, dry shoes, packaged food for #BoulderFlood relief! Bring to 2850 Mapleton A…"
"people take rice","C02","Needs food, or able to provide food","RT @cnnbrk: Eight killed in post-typhoon stampede as people take rice from Philippines warehouse, official says. http://t.co/QgR6NdMsJb"
"provided food","C02","Needs food, or able to provide food","RT @SNVredcross: In addition to the Colorado flooding, #RedCross has provided food &amp; shelter to people affected by flooding in Guam, UT, AZ…"
"scavenging for survival","C02","Needs food, or able to provide food","After a major disaster like this it's not fair to call it looting. Most of these people are scavenging for survival. #TyphoonHaiyan"
"starving to death","C02","Needs food, or able to provide food","RT @sarahcharlina: People in the affected areas are starving to death! :( But where did all the money go? *sigh* #ReliefPH #Haiyan #Yolanda…"
"tissue and biscuits","C02","Needs food, or able to provide food","RT @merphi: UA&amp;P UPDATE (2:32pm): we need canned goods, tissue and biscuits. Thank you! #ReliefPH"
"victims identified","C02","Needs food, or able to provide food","RT @NBCNewYork: #BREAKING: Three victims identified in deadly Metro-North train derailment http://t.co/0GGGdqaWV3"
"well-fed","C02","Needs food, or able to provide food","Ft Collins community is keeping everyone from #highparkfire well-fed. Today: fresh-grilled Tacos On the Street."
"working to buy {Number} million meal","C02","Needs food, or able to provide food","RT @AC360: Journey singer @arnelpineda says his group is working to buy two million meal for #typhoon victims. #AC360"
"{Number} critical","C03","Mental, physical, emotional well being and health","#LAXShooting @CNN reporting 3 victims at Ronald Reagan UCLA Medical Center, 1 critical"
"{Number} injured","C03","Mental, physical, emotional well being and health","RT @khalidkhan787: Update : 17 injured due to #earthquake being shifted from Awaran to Karachi"
"{Number} patient","C03","Mental, physical, emotional well being and health","RT @RT_com: UPDATE: 1 patient in critical, 2 others in fair condition at UCLA Medical Center after #LAX shooting - @NBCNews http://t.co/eUI…"
"{Number} wounded evacuated/treated","C03","Mental, physical, emotional well being and health","RT @ErumManzoor: #earthquake 500 wounded evacuated/treated from different areas of Mushke &amp; Awaran to District hospital Awaran by Army/Fron…"
"@{Number}dinfectionmnl","C03","Mental, physical, emotional well being and health","RT @1DInfectionMNL: There's an 7.2 magnitude earthquake in the Philippines, specifically Cebu and Bohol, about 5 minutes ago. -A"
"@nocoredcross","C03","Mental, physical, emotional well being and health","RT @NoCORedCross: Info on how to use the Red Cross #safeandwell webpage: http://t.co/8z9bPZ6y #HighParkFire"
"@philredcross","C03","Mental, physical, emotional well being and health","RT @mallverine: The time is NOW. Donate to @philredcross. Text RED &lt;space&gt; AMOUNT to 2899 (Globe) or 4143 (Smart) #Earthquake #Philippines"
"@redcross","C03","Mental, physical, emotional well being and health","RT @ConnectColorado: Affected by the #HighParkFire &amp; need shelter? Download this FREE @RedCross iphone #shelter view app http://t.co ..."
"@redcrosscebu","C03","Mental, physical, emotional well being and health","RT @RedCrossCebu  Red Cross Emergency Numbers #Cebu Chapter 032- 4124140 | 09209294645 &amp; Bohol Chapter 038-5019175 | 09209031793  #rescuePH"
"@redcrossdenver","C03","Mental, physical, emotional well being and health","RT @RedCrossDenver: Red Cross #Shelter has been established at #loc East Boulder Rec Center 5660 Sioux Dr Boulder #FlagstaffFire"
"#earthquake hit #awaran district hospital","C03","Mental, physical, emotional well being and health","#Breaking: no surgery staff present at #Earthquake hit #Awaran district hospital, watch details now on CNBC"
"#reliefph #redcross","C03","Mental, physical, emotional well being and health","@thisisrenemd: If a lot of us donate even a little, kaya yan. http://t.co/ZUTW8UeY #patakpatak #reliefph #redcross"
"#rescueph rescue ust hospital","C03","Mental, physical, emotional well being and health","#rescuePH rescue UST Hospital! oh pls. can't imagine those patients suffering from....ugh. :("
"#safeandwell","C03","Mental, physical, emotional well being and health","RT @NoCORedCross: Info on how to use the Red Cross #safeandwell webpage: http://t.co/8z9bPZ6y #HighParkFire"
"abdominal diseases","C03","Mental, physical, emotional well being and health","So the flood victims in #Pakistan have not been given any relief as yet. The kids are suffering from abdominal diseases. #stopchildabuse"
"allergies","C03","Mental, physical, emotional well being and health","No wonder my allergies are crazy. Please pray for the fire in Colorado to be gotten under control, so scary and so sad http://t.co/zyPHSXCQ"
"another storm","C03","Mental, physical, emotional well being and health","RT @DTChapmanPics: My road is a mess Beamsville. #onstorm hydro still out and another storm forming to my SW."
"army doctors treating patients","C03","Mental, physical, emotional well being and health","RT @Baloch_istan: Enemy of Baloch #Pakistan Army Doctors treating patients in #earthquake hit areas in #Balochistan http://t.co/ce8ClBmwc…"
"army's special medical camp","C03","Mental, physical, emotional well being and health","Female patients at Pakistan Army's special medical camp for flood affectees. http://t.co/LNNcS1ju5h"
"at least {Number} hurt","C03","Mental, physical, emotional well being and health","NBC News: At least 3 hurt, unknown if shooter is among injured. At least 1 in custody. President Obama briefed on #LAXShooting. @NBCLA"
"at least {Number} people injured","C03","Mental, physical, emotional well being and health","Sources: At least 40 people injured: A Metro-North train derailed Sunday morning in the Bronx, the New York Fi... http://t.co/63kdnXHUTC"
"at least {Number} people injured by glass shards","C03","Mental, physical, emotional well being and health","RT @IrinaGalushkoRT: latest reports: at least 100 people injured by glass shards from shattered windows in #Chelyabinsk #asteroid explosion"
"at least {Number} people were injured","C03","Mental, physical, emotional well being and health","RT @nytimes: Updated: At least 7 people were injured in shooting by gunman at Los Angeles International Airport http://t.co/aMkeNeWVii"
"babies rescued","C03","Mental, physical, emotional well being and health","RT @MaeAbi: #earthquake aftermath. Babies rescued from the ICU. Picture by Ann Guevarra. #PrayForVisayas http://t.co/PmLaZ6sNCa"
"breathing problems","C03","Mental, physical, emotional well being and health","RT @EPAgov: Smoke from #wildfire can harm #airquality, worsen breathing problems, even miles away. Check your air quality: http://t.co/T ..."
"carcinogens","C03","Mental, physical, emotional well being and health","RT @BW: Over 100 illegal mines have tainted one of China's rivers with carcinogens | http://t.co/HIv7DjI4M4 by @larsonchristina"
"critical gunshot victim","C03","Mental, physical, emotional well being and health","RT @alertpage: #LAX At least one critical gunshot victim transported early on from LAX."
"dengue","C03","Mental, physical, emotional well being and health","RT @dunyanetwork: Dengue starts surfacing in flood-hit areas of #Sindh, #Punjab #Pakistan #Dunyatv"
"dengue cases","C03","Mental, physical, emotional well being and health","RT @FieMitch: Indonesia is too kind to send their smoke/haze to singapore because they know there's dengue cases here. Hopefully we are mos…"
"doctor's hospital","C03","Mental, physical, emotional well being and health","RT @sunstaronline: Tents were installed outside the #Cebu Doctor's Hospital to house patients who were moved outside the bldg. #quake http:…"
"doctors","C03","Mental, physical, emotional well being and health","Meycauyan Doctors Hosp does not have generators anymore. pls help. lots of babies there. THANKS. #rescuePH RT @reginevalcasid @keancipriano"
"doctors and patients","C03","Mental, physical, emotional well being and health","RT @kimpoyfeliciano: UST Hospital's generator has already died. Doctors and patients in dire need of help. #RescuePH :("
"donate blood","C03","Mental, physical, emotional well being and health","Guys please remember if you can to donate blood today! We are gathering up items for displaced families.  #prayforwest"
"donate blood following explosion","C03","Mental, physical, emotional well being and health","RT @BuzzFeedNews: Red Cross: Where to donate blood following explosion at Boston Marathon http://t.co/OIt1JlJpLb"
"donate medicines","C03","Mental, physical, emotional well being and health","RT: @alexbunag For those who can donate medicines, please let @PRSSPUPM  know ASAP. Thank you! #reliefPH"
"dozens are injured","C03","Mental, physical, emotional well being and health","Four dead, more than 60 injured in Metro-North train derailment: Four people are dead and dozens are injured... http://t.co/Jacs8ptCA7"
"dozens badly hurt","C03","Mental, physical, emotional well being and health","RT @BBCBreaking: VIDEO: Fire rages after explosion in Texas town of #West - dozens badly hurt &amp; buildings flattened http://t.co/iXXw ..."
"dozens hurt","C03","Mental, physical, emotional well being and health","RT @BBCBreaking: At least 4 people dead and dozens hurt in New York City train derailment, say US media http://t.co/pQkBRmZAL4"
"dozens injured","C03","Mental, physical, emotional well being and health","Four dead, dozens injured in NYC train derailment - KSLA-TV: Four dead, dozens injured in NYC train derailment... http://t.co/V66CwJBrYW"
"dozens of injuries","C03","Mental, physical, emotional well being and health","RT @AP: BREAKING: MTA spokeswoman says NYC train derailment has caused multiple fatalities, dozens of injuries."
"emergency services working tonight","C03","Mental, physical, emotional well being and health","RT @David_Cameron: My thoughts are with everyone affected by the helicopter crash in Glasgow - and the emergency services working tonight."
"epidemics of communicable infectious diseases","C03","Mental, physical, emotional well being and health","@UNICEF . Children suffering from epidemics of communicable infectious diseases in flood hit areas of Pakistan."
"female patients","C03","Mental, physical, emotional well being and health","Female patients at Pakistan Army's special medical camp for flood affectees. http://t.co/LNNcS1ju5h"
"food packets and health services to affected people","C03","Mental, physical, emotional well being and health","RT @ChouhanShivraj: The team is providing ex-gratia amounts, food packets and health services to affected people at the camp. #Uttarakhand"
"haze","C03","Mental, physical, emotional well being and health","NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore"
"haze prevention","C03","Mental, physical, emotional well being and health","RT @vanzperry: Singapore flyer need to upgrade to this for haze prevention #SGhaze http://t.co/7ylJkJdDUB"
"haze situation","C03","Mental, physical, emotional well being and health","The reason my flight in Tokyo issue. #smallworld “@SingaporeAir: Update on haze situation in Singapore, please visit http://t.co/ypzEVqcCCo"
"health advisories","C03","Mental, physical, emotional well being and health","RT @COEmergency: MT@COHealth:Still 3 Wildfire Smoke Health Advisories for Little Sand, Pine Ridge and Waldo Canyon #COfire . https://t.c ..."
"health advisory","C03","Mental, physical, emotional well being and health","RT @ChannelNewsAsia: #SGHaze: PSI now at 155 as of 10pm. Here's the health advisory from @NEAsg http://t.co/tvG4bIYZYO"
"help children recover from trauma","C03","Mental, physical, emotional well being and health","Help children recover from trauma #Philippines Give $30 for 1 child and share for many more! http://t.co/CpFIVUwAcE #DT @operationSAFE"
"highway hypnosis","C03","Mental, physical, emotional well being and health","RT @ChrisReuters: Source: Metro North driver fell into highway hypnosis before crash. http://t.co/lmbiHaUQw4"
"hospital","C03","Mental, physical, emotional well being and health","UST Hospital and UERM in need of immediate help. UST's morgue is flooded, UERM's nursery is near being flooded. Please please #rescuePH"
"hospital address","C03","Mental, physical, emotional well being and health","Contact Enam Medical College &amp; Hospital  Address: 9/3, parboti Nagar, Thana Road, Savar Dhaka, Bangladesh.  Phone:... http://t.co/5OduGElJ48"
